Airport List,,,,,,,,
,,,,,,,,
Airport,,Hub,Airport Category,City,State,Airport Hub Division,Area,Airport Federalized Flag
HTS,Tri-State/Milton J Ferguson Field,CRW,III,Huntington,WV,Northeast,Surface Region 2,Y
LWB,Greenbrier Valley,CRW,IV,Lewisburg,WV,Northeast,Surface Region 2,Y
FSD,Joe Foss Field,FSD,II,Sioux Falls,SD,Central,Surface Region 4,Y
MGW,Morgantown Municipal (Walter L Bill Hart Field),CRW,IV,Morgantown,WV,Northeast,Surface Region 2,Y
FWA,Fort Wayne International,IND,II,Ft. Wayne,IN,Northeast,Surface Region 3,Y
PKB,Mid-Ohio Valley Regional,CRW,IV,Parkersburg,WV,Northeast,Surface Region 2,Y
OWB,Owensboro/Daviess County Regional,CVG,III,Owensboro,KY,Northeast,Surface Region 2,Y
PAH,Barkley Regional,CVG,IV,West Paducah,KY,Northeast,Surface Region 2,Y
ABI,Abilene Regional,DAL,III,Abilene,TX,Western,Surface Region 4,Y
GEG,Spokane International,SEA,I,Spokane,WA,Western,Surface Region 5,Y
GGG,East Texas Regional,DAL,III,Longview,TX,Western,Surface Region 4,Y
SPS,Sheppard AFB/Wichita Falls Municipal,DAL,III,Wichita Falls,TX,Western,Surface Region 4,Y
TYR,Tyler Pounds Regional,DAL,III,Tyler,TX,Western,Surface Region 4,Y
ALS,San Luis Valley Regional/Bergman Field,DEN,IV,Alamosa,CO,Central,Surface Region 4,Y
CEZ,Cortez Municipal,DEN,IV,Cortez,CO,Central,Surface Region 4,Y
GNV,Gainesville Regional,MCO,II,Gainesville,FL,Southeast,Surface Region 2,Y
GPI,Glacier Park International,BIL,II,Kalispell,MT,Central,Surface Region 4,Y
GPT,Gulfport-Biloxi International,JAN,II,Gulfport,MS,Southeast,Surface Region 2,Y
GRB,Green Bay/Austin Straubel International,MKE,II,Green Bay,WI,Central,Surface Region 3,Y
DRO,Durango-La Plata County,DEN,III,Durango,CO,Central,Surface Region 4,Y
EGE,Eagle County Regional,DEN,III,Eagle,CO,Central,Surface Region 4,Y
GRR,Gerald R Ford International,DTW,I,Grand Rapids,MI,Northeast,Surface Region 3,Y
GSN,Francisco C Ada/Saipan International,HNL,II,Saipan,MP,Western,Surface Region 5,Y
GSO,Piedmont Triad International,RDU,II,Greensboro,NC,Southeast,Surface Region 2,Y
GSP,Greenville Spartanburg International,CHS,II,Greer,SC,Southeast,Surface Region 2,Y
FNL,Northern Colorado Regional,DEN,III,Loveland,CO,Central,Surface Region 4,Y
GJT,Grand Junction Regional,DEN,III,Grand Junction,CO,Central,Surface Region 4,Y
GUC,Gunnison-Crested Butte Regional,DEN,III,Gunnison,CO,Central,Surface Region 4,Y
HDN,Yampa Valley,DEN,III,Hayden,CO,Central,Surface Region 4,Y
GUM,Guam International,HNL,I,Tamuning,GU,Western,Surface Region 5,Y
MTJ,Montrose Regional,DEN,III,Montrose,CO,Central,Surface Region 4,Y
PUB,Pueblo Memorial,DEN,III,Pueblo,CO,Central,Surface Region 4,Y
TEX,Telluride Regional,DEN,IV,Telluride,CO,Central,Surface Region 4,Y
ALO,Waterloo Regional,DSM,IV,Waterloo,IA,Central,Surface Region 3,Y
HNL,Daniel K Inouye International,HNL,X,Honolulu,HI,Western,Surface Region 5,Y
BRL,Southeast Iowa Regional,DSM,IV,Burlington,IA,Central,Surface Region 3,Y
HOU,William P Hobby,IAH,I,Houston,TX,Western,Surface Region 4,Y
HPN,Westchester County,JFK,II,White Plains,NY,Northeast,Surface Region 1,Y
HRL,Valley International,SAT,II,Harlingen,TX,Western,Surface Region 4,Y
HSV,Huntsville International-Carl T Jones Field,BHM,II,Huntsville,AL,Southeast,Surface Region 2,Y
DBQ,Dubuque Regional,DSM,III,Dubuque,IA,Central,Surface Region 3,N
HVN,Tweed/New Haven,BDL,II,New Haven,CT,Northeast,Surface Region 1,Y
FOD,Fort Dodge Regional,DSM,IV,Fort Dodge,IA,Central,Surface Region 3,Y
MCW,Mason City Municipal,DSM,IV,Mason City,IA,Central,Surface Region 3,Y
SUX,Sioux Gateway/Brig General Bud Day Field,DSM,IV,Sioux City,IA,Central,Surface Region 3,Y
APN,Alpena County Regional,DTW,IV,Alpena,MI,Northeast,Surface Region 3,Y
IAD,Washington Dulles International,IAD,X,Dulles,VA,Southeast,Surface Region 2,Y
AZO,Kalamazoo/Battle Creek International,DTW,III,Kalamazoo,MI,Northeast,Surface Region 3,Y
IAH,George Bush Intercontinental/Houston,IAH,X,Houston,TX,Western,Surface Region 4,Y
ICT,Wichita Dwight D Eisenhower National,ICT,II,Wichita,KS,Central,Surface Region 3,Y
IDA,Idaho Falls Regional,BOI,II,Idaho Falls,ID,Western,Surface Region 5,Y
CIU,Chippewa County International,DTW,IV,Kincheloe,MI,Northeast,Surface Region 3,Y
CMX,Houghton County Memorial,DTW,IV,Calumet,MI,Northeast,Surface Region 3,Y
ILM,Wilmington International,RDU,II,Wilmington,NC,Southeast,Surface Region 2,Y
ESC,Delta County,DTW,IV,Escanaba,MI,Northeast,Surface Region 3,Y
IND,Indianapolis International,IND,I,Indianapolis,IN,Northeast,Surface Region 3,Y
IMT,Ford,DTW,IV,Kingsford,MI,Northeast,Surface Region 3,Y
INT08,Dallas ROC,HQ,'-,Moab,TX,Central,Surface Region 3,N
INT10,Honolulu ROC,HQ,'-,Moab,VA,Central,Surface Region 3,N
INT14,Los Angeles,HQ,'-,Moab,CA,Central,Surface Region 3,N
INT17,Miami ROC,HQ,'-,Moab,FL,Central,Surface Region 3,N
INT23,Reston ROC,HQ,'-,Moab,VA,Central,Surface Region 3,N
INT31,"TSA International Regional Bureaus (WH, AP, EUR, AME)",HQ,'-,Moab,VA,Central,Surface Region 3,N
